uid;Shape_Leng;from;to;y_start;x_start;y_end;x_end
1000;337.4305507;'36.3234209627639,59.6316416281683';'36.3216521724814,59.6346797455148';36.32342096;59.63164163;36.32165217;59.63467975
1001;301.5622426;'36.3249420552898,59.6288690169891';'36.3234209627639,59.6316416281683';36.32494206;59.62886902;36.32342096;59.63164163
1002;167.6866062;'36.3501642532974,59.4667366823378';'36.3490026189278,59.4679309201901';36.35016425;59.46673668;36.34900262;59.46793092
1003;116.9749768;'36.3490026189278,59.4679309201901';'36.3482250188312,59.4688102738349';36.34900262;59.46793092;36.34822502;59.46881027
1004;354.4586837;'36.3465712631975,59.4733801671372';'36.3465456987049,59.4773278463741';36.34657126;59.47338017;36.3465457;59.47732785
1005;150.0000124;'36.3465311593928,59.4791214489964';'36.3465175944199,59.4807919954071';36.34653116;59.47912145;36.34651759;59.480792
1006;161.0491591;'36.3465456987049,59.4773278463741';'36.3465311593928,59.4791214489964';36.3465457;59.47732785;36.34653116;59.47912145
1007;218.3992426;'36.3465175944199,59.4807919954071';'36.3465898426498,59.4832208550758';36.34651759;59.480792;36.34658984;59.48322086
1008;273.8427037;'36.3465898426498,59.4832208550758';'36.3465534089171,59.4862704501926';36.34658984;59.48322086;36.34655341;59.48627045
1009;406.3961261;'36.3460916909288,59.4947170972073';'36.3453591038864,59.4991498450269';36.34609169;59.4947171;36.3453591;59.49914985
1010;321.4312263;'36.3464182169363,59.4911609735563';'36.3460916909288,59.4947170972073';36.34641822;59.49116097;36.34609169;59.4947171
1011;150.0177871;'36.3464936397537,59.4894928587819';'36.3464182169363,59.4911609735563';36.34649364;59.48949286;36.34641822;59.49116097
1012;289.4110089;'36.346553408737,59.4862704501869';'36.3464936397537,59.4894928587819';36.34655341;59.48627045;36.34649364;59.48949286
1013;107.4731806;'36.3453591038864,59.4991498450269';'36.3451194609077,59.5003093478643';36.3453591;59.49914985;36.34511946;59.50030935
1014;306.6025403;'36.3451194609077,59.5003093478643';'36.3450476137591,59.5037090730576';36.34511946;59.50030935;36.34504761;59.50370907
1015;389.4992613;'36.3475855272884,59.5629752601668';'36.3485988164332,59.5671038938416';36.34758553;59.56297526;36.34859882;59.56710389
1016;336.6928092;'36.3475537621347,59.5818725127133';'36.3459325905679,59.5850418265081';36.34755376;59.58187251;36.34593259;59.58504183
1017;791.2136088;'36.337534709683,59.6031868735714';'36.3338594808842,59.6107353485729';36.33753471;59.60318687;36.33385948;59.61073535
1018;336.6919175;'36.3390263911634,59.5999222833131';'36.337534709683,59.6031868735714';36.33902639;59.59992228;36.33753471;59.60318687
1019;224.1914218;'36.3400043593559,59.597737886017';'36.3390263911631,59.5999222833243';36.34000436;59.59773789;36.33902639;59.59992228
1020;1137.205998;'36.330213216553,59.6180119989504';'36.3249420551102,59.6288690169608';36.33021322;59.618012;36.32494206;59.62886902
1021;249.9891103;'36.3313914672689,59.6156397758347';'36.330213216553,59.6180119989504';36.33139147;59.61563978;36.33021322;59.618012
1022;296.3225356;'36.3327933874742,59.6128318897709';'36.3313914671789,59.6156397758316';36.33279339;59.61283189;36.33139147;59.61563978
1023;222.3822695;'36.3338594808842,59.6107353485729';'36.3327933873841,59.6128318897679';36.33385948;59.61073535;36.33279339;59.61283189
1024;178.2426609;'36.3407865630737,59.596004364218';'36.3400043593559,59.597737886017';36.34078656;59.59600436;36.34000436;59.59773789
1025;268.479744;'36.3419743733539,59.5933998527604';'36.3407865630737,59.596004364218';36.34197437;59.59339985;36.34078656;59.59600436
1026;409.6584651;'36.3437610325622,59.5894084617954';'36.3419743733539,59.5933998527604';36.3437413;59.58939544;36.34194965;59.59338458
1027;460.2986333;'36.3459325905682,59.585041826497';'36.3437610325622,59.5894084617954';36.34590219;59.5850172;36.34374461;59.58939553
1028;250.105568;'36.264854387525,59.6526384006918';'36.2630088696712,59.6510440470584';36.26485439;59.6526384;36.26300887;59.65104405
1029;732.8844823;'36.2615449397968,59.649164680747';'36.2591950911311,59.6416590420806';36.26154494;59.64916468;36.25919509;59.64165904
1030;751.8922679;'36.2587821518308,59.6348081444757';'36.2582873127533,59.626466332464';36.25878215;59.63480814;36.25828731;59.62646633
1031;617.5593731;'36.2591950911311,59.6416590420806';'36.2587821518308,59.6348081444757';36.25919509;59.64165904;36.25878215;59.63480814
1032;374.9962463;'36.2582873127533,59.626466332464';'36.2572448497069,59.6225449761228';36.25828731;59.62646633;36.25724485;59.62254498
1033;410.79723;'36.2537716961181,59.6160636029942';'36.2514665644507,59.6124891632322';36.2537717;59.6160636;36.25146656;59.61248916
1034;252.737231;'36.2550746195944,59.618368573045';'36.2537716961181,59.6160636029942';36.25507462;59.61836857;36.2537717;59.6160636
1035;250.0001683;'36.2562909276583,59.6207091786965';'36.2550746195944,59.618368573045';36.25629093;59.62070918;36.25507462;59.61836857
1036;232.0974541;'36.3064162016622,59.6618578582183';'36.3051781294674,59.6639397396129';36.3064162;59.66185786;36.30517813;59.66393974
1037;56.12579574;'36.3070393717821,59.6608099190979';'36.3067399884595,59.6613133739628';36.30703937;59.66080992;36.30673999;59.66131337
1038;150.9228765;'36.3078444069059,59.6594561042434';'36.3070393717821,59.6608099190979';36.30784441;59.6594561;36.30703937;59.66080992
1039;643.2963399;'36.3122552243701,59.652037575498';'36.3088240616174,59.6578085635462';36.31225522;59.65203758;36.30882406;59.65780856
1040;273.5950854;'36.313714424459,59.6495830074719';'36.31225522428,59.6520375754949';36.31371442;59.64958301;36.31225522;59.65203758
